kategorie,anforderung,beschreibung,status,umsetzung_kurz,zitat_aufgabe_md,zitat_eigene_konzeption,quelle,zusatzleistung
Mitarbeiter-Tooling,Manuelle Entscheidung ueber Kanban oder Telegram (Sub-Workflow 1),Mitarbeiterin kann fuer einen Grenzfall direkt im Kanban ODER in Telegram eine Entscheidung treffen die automatisch die passende Mail versendet,erledigt,"Sub-Workflow 1 - Manuelle-Entscheidung: NocoDB-Webhook (Filter manuelle_entscheidung not blank) plus Telegram Trigger (callback_query) - beide Pfade muenden in identischen Switch + Mail + DB-Update; Bestaetigungs-Nachricht in Telegram nach Versand","'ob Deine Lösung tatsächlich Arbeit spart oder nur Arbeit verschiebt'","Workflow 4 — Manuelle Entscheidung umsetzen. Triggert wenn die Mitarbeiterin im NocoDB-Datensatz ihre Entscheidung speichert. Nimmt die passende Vorlage, versendet die E-Mail und setzt finalen Status",eigene Konzeption,ja (Zusatz - konzeptionell entscheidend)
Mitarbeiter-Tooling,Endstatus / Abschluss einer Bewerbung,Es ist definiert wie eine Bewerbung von einem Bearbeitungsstatus in einen finalen Abschlussstatus uebergeht,erledigt,"Manuelles Drag&Drop der Mitarbeiterin nach 'abgeschlossen' nach erfolgter CRM-Uebernahme. Bewusst nicht automatisiert da CRM-Anbindung ausserhalb des Prototyp-Scopes liegt (aufgabe.md: 'Du musst nichts an unsere Systeme anbinden'). Der bestehende NocoDB-Webhook feuert hier korrekterweise nicht (manuelle_entscheidung wird nicht erneut gesetzt) - keine ungewollte Folgeaktion",,Moegliche Werte fuer status enthalten 'abgeschlossen' — konkrete Ueberfuehrungslogik im Bau definiert als manueller Akt nach CRM-Uebernahme,eigene Konzeption,ja (Konzeptionell geklaert)
Mitarbeiter-Tooling,Interne Notizen statt individueller Zusatz,Mitarbeiterin kann interne Notizen zu jedem Bewerber hinterlegen,erledigt,"NocoDB-Kommentarfunktion (statt separater Spalte individueller_zusatz) - zeitgestempelt mit Autor, mehrere Eintraege als Verlauf, nativ in der UI sichtbar; nicht an Bewerber kommuniziert","'an die Mitarbeiterin gedacht hast'",In Konzeption als Feld individueller_zusatz vorgesehen — im Bau zugunsten besserer UX durch NocoDB-Kommentare ersetzt,eigene Konzeption,ja (UX-Verbesserung im Bau)
Daten & Robustheit,Datenstruktur (Datenmodell selbst gewaehlt),Datenmodell und Datenstrukturen wurden bewusst gewaehlt und sind dokumentiert,erledigt,"PostgreSQL-Tabellen bewerbungen + bedarfskarte; Pflicht- und Nullable-Felder klar getrennt; externe_id fuer Quell-Verknuepfung (z.B. BW-2026-XXXX)","'Welche Datenstrukturen Du wählst, ... — alles Deine Entscheidung'","Datenmodell-Abschnitt mit vollstaendigem CREATE TABLE bewerbungen / bedarfskarte; Nullable-Regel: nur id name email status zwingend",aufgabe.md (Pflicht),nein
Daten & Robustheit,Persistente Datenhaltung aller Bewerbungen,Alle eingehenden Bewerbungen werden mit Status Score und Begruendung dauerhaft gespeichert,erledigt,"PostgreSQL-Tabelle bewerbungen mit ON CONFLICT-Upsert-Pattern fuer alle Statuswechsel; NocoDB als Frontend liest direkt aus derselben DB - Single Source of Truth",,Single Source of Truth — eine Datenbank,eigene Konzeption,nein
Daten & Robustheit,Konsistente Normalisierung ueber alle Eingangskanaele,"Gmail Tally und Webhook-Direkteingang liefern identisch strukturierte Daten an die weitere Verarbeitung",erledigt,"Webhook - Daten normalisieren als single point of truth: erkennt Format erzeugt einheitliches Schema inkl. abgedeckte_plz als 2-stelliges Array und externe_id",,Im Bau ergaenzt als Folge von 3 Eingangswegen — vereinheitlicht weitere Verarbeitung,eigene Konzeption,ja (Zusatz - Robustheit)
Daten & Robustheit,Idempotenz bei Wiederholungen,Mehrfache Verarbeitung desselben Datensatzes (z.B. durch Rueckfrage-Loop oder Telegram-Doppelklick) erzeugt keine Duplikate oder Folgefehler,erledigt,"Alle INSERTs nutzen ON CONFLICT (id) DO UPDATE; Sub-Workflow 1 prueft im Filter ob Status noch manuell_pruefen ist und bricht andernfalls ab (return [])",,Im Bau ergaenzt als notwendige Konsequenz aus Rueckfrage-Loop- und Telegram-Button-Architektur,eigene Konzeption,ja (Zusatz)
Daten & Robustheit,Robuste PLZ-Match-Query bei fehlenden Treffern,Die Bedarfsabfrage liefert auch dann ein verwertbares Ergebnis wenn keine der angegebenen PLZ in der Bedarfskarte vorkommt,erledigt,"COALESCE-Konstruktion liefert garantiert genau eine Zeile (plz_score=-1 bedarf_status='unbekannt') statt 'No data returned' bei 0 Treffern",,Im Bau ergaenzt als Defensive-Programming-Massnahme,eigene Konzeption,ja (Zusatz - Robustheit)
Daten & Robustheit,Schutz gegen Endlosschleifen bei NocoDB-Webhook,NocoDB-Webhook der bei jedem Update feuert fuehrt nicht zu rekursivem Workflow-Aufruf,erledigt,"Sub-Workflow 1 - Normalisieren + Filter: bricht ab wenn manuelle_entscheidung ungueltig oder status_ nicht mehr 'manuell_pruefen' ist - eigene Status-Aenderung feuert Webhook erneut, wird aber sauber abgewiesen","'ob Dein System scheitert'",Im Bau ergaenzt als notwendige Architektur-Massnahme,eigene Konzeption,ja (Zusatz - Robustheit)
Demo & Test,Lauffaehige Plattform statt Konzeptpapier,"Die Anwendung kann gestartet werden und durchlaeuft den Prozess tatsaechlich",erledigt,"n8n + PostgreSQL + NocoDB laufen via Docker Compose auf Hostinger VPS; Workflows aktiv; alle 15 Demo-Bewerbungen sind end-to-end durchgelaufen mit korrektem Status pro Fall","'Der Kern der Aufgabe ist, dass Du eine eigene, lauffähige Plattform baust. Kein Konzeptpapier, keine reine Skizze und kein zusammengeklicktes No-Code-Setup, sondern eine Anwendung, die man starten kann und die den Prozess tatsächlich durchläuft.'",,aufgabe.md (Pflicht),nein
Demo & Test,Test-Suite fuer alle Routing-Pfade,Alle moeglichen Wege durch das Routing (Absage Grenzfall Rueckfrage Einladung Spam) sind mit konstruierten Faellen abgedeckt,erledigt,"test_alle_cases.sh mit 8 Testfaellen (TestXX_Szenario_erwarteterAusgang-Schema), deckt alle 4 Switch-Ausgaenge plus Scoring-Ausgaenge plus Spam ab",,Test-Strategie im Bau ergaenzt als Nachweis der Routing-Logik,eigene Konzeption,ja (Zusatz)
Demo & Test,Import der 15 Demo-Bewerbungen,Die mitgelieferten 15 fiktiven Bewerbungen koennen end-to-end durch das System laufen und zeigen plausible Ergebnisse,erledigt,"import_bewerbungen.sh sendet jede Bewerbung einzeln per Webhook (simuliert realen Eingang); alle 15 Faelle liefern fachlich nachvollziehbare Status/Scores/Begruendungen","'Zweitens fünfzehn fiktive Bewerbungen als JSON-Dump' (implizite Erwartung: damit testen)","Testing mit allen 15 Demo-Bewerbungen — Bash-Script das alle 15 nacheinander durch den HTTP-Webhook schickt",aufgabe.md (implizit),nein
Demo & Test,Edge Case - Bewerbung ohne Pflichtangaben,Eine Bewerbung mit kaum verwertbaren Daten durchlaeuft den Prozess ohne Absturz und landet in einer sinnvollen Pipeline,erledigt,"BW-2026-0145 (Tobias R.) -> rueckfrage_offen mit fehlende_felder=PLZ Wohnort+Berufserfahrung; als Edge Case in Doku aufgenommen",,,aufgabe.md (Pflicht),nein
Demo & Test,Kanban-Sortierung nach Einsatzorten (abgedeckte_plz) geprueft,Geprueft ob das Kanban nach abgedeckten PLZ-Bereichen sortiert/gruppiert werden kann,depriorisiert,"abgedeckte_plz enthaelt pro Bewerbung mehrere Werte als kommagetrennter String; eindeutige Sortierung wuerde eigenes Datenmodell (Verknuepfungstabelle) erfordern. Aufwand-Nutzen-Verhaeltnis fuer Prototyp nicht gerechtfertigt; Mitarbeiterin kann nach plz_wohnort filtern/sortieren","'in den richtigen Momenten zu früh oder zu spät automatisierst'","Bewusste Nicht-Umsetzung passt zum Leitprinzip 'Automatisieren wo es Arbeit spart, nicht wo es Arbeit verschiebt'",aufgabe.md (Reflexion),ja (bewusste Entscheidung)
Future Features,Google Drive Lebenslauf-Upload,Bewerber kann einen Lebenslauf hochladen dessen Link im NocoDB-Profil gespeichert wird,depriorisiert,Konzept vorhanden noch nicht umgesetzt; als spaetere Erweiterung vorgesehen,,Nicht in urspruenglicher Konzeption — im Verlauf als Future Feature notiert,Future Feature,ja (Zusatz)
Future Features,Kalender-Buchungslink in Einladungsmail,Bewerber kann sich direkt einen Telefon-Termin buchen,erledigt,"Kalenderlink (Motion.app) in Mail - Einladung senden eingebaut, Verbindung mit Alexander als Mock-Empfaenger eingerichtet",,Nicht in urspruenglicher Konzeption — im Verlauf als Zusatz umgesetzt,eigene Erweiterung,ja (Zusatz)
Future Features,Separate Vorlage fuer absagen_profil,Eigene Mail-Vorlage fuer 'Profil passt nicht' statt 'Region voll',depriorisiert,"Aktuell nutzen beide Absage-Gruende dieselbe Vorlage (Vorlage 2 - Region); Differenzierung als Future Feature vorgesehen",,Im Bau bewusst nicht differenziert da Bewerber-seitig der Pool-Hinweis ohnehin gleich ist,Future Feature,ja (Zusatz)
Dokumentation & Abgabe,Workflow-Kommentare (Sticky Notes),Die n8n-Workflows enthalten erklaerende Kommentare zu jedem Node mit Zweck und Begruendung,erledigt,"Sticky Notes in allen drei Workflows fuer jeden Node - jeweils 'was macht der Node' und 'warum so umgesetzt'",,Im Bau ergaenzt als Lese-Hilfe fuer Alexander beim Sichten des Workflows,eigene Konzeption,nein
Dokumentation & Abgabe,README mit Setup-Anleitung,Eine README beschreibt Setup Architektur Prozesse und Erklaerung fuer die Mitarbeiterin,erledigt,"README.md mit Setup-Anleitung (Docker Compose), Architektur-Diagramm, Erklaerung der drei Eingangskanaele, Erklaerung der Routing-Logik, Mitarbeiter-Prozesse pro Status, Test-Anleitung","'eine kurze README mit Setup-Anleitung und Deinen wichtigsten Entscheidungen'",,aufgabe.md (Pflicht),nein
Dokumentation & Abgabe,DECISIONS.md mit Architektur-Entscheidungen,"Zentrale Entscheidungen sind dokumentiert und begruendet",erledigt,"DECISIONS.md mit allen Architektur-Entscheidungen: KI-Einsatz Routing-Architektur Eingangskanaele Datenmodell Mitarbeiter-UX Edge-Case-Strategie bewusste Nicht-Umsetzungen Phase-2-Ausblick","'Deinen wichtigsten Entscheidungen' (im Verlauf zur eigenen Datei DECISIONS.md ausgelagert)","DECISIONS.md: Wo KI / wo deterministisch und warum / Spam-Heuristik / Manuelle Entscheidung integriert (Arbeit sparen, nicht verschieben)",aufgabe.md (Pflicht; eigene Ergaenzung),ja (eigene Ergaenzung ueber aufgabe.md hinaus)
Dokumentation & Abgabe,Dokumentation nicht-fertiger Punkte,"Was nicht geschafft wurde ist kurz dokumentiert inkl. was als naechstes gebaut worden waere",erledigt,"Eigener Abschnitt 'Was nicht umgesetzt wurde' in DECISIONS.md inkl. Phase-2-Roadmap und bewusst nicht umgesetzten Punkten (Kanban-Sortierung, KI-Bewertung Berufshintergrund, Google Drive)","'Wenn etwas nicht geschafft wurde, dokumentier es kurz und erklär, was Du als nächstes gebaut hättest.'",,aufgabe.md (Pflicht),nein
Dokumentation & Abgabe,Hinweis zu KI-Tool-Nutzung,Kurzer Hinweis wie KI-Tools (Claude) bei der Erstellung der Loesung selbst genutzt wurden,erledigt,"Eigener Abschnitt in DECISIONS.md - Claude als Pair-Programming-Partner bei n8n-Node-Konfiguration SQL-Queries Architektur-Diskussionen; alle Architektur- und Bewertungsentscheidungen selbst getroffen","'Wenn Du im Bau KI-Tools genutzt hast, freuen wir uns über einen kurzen Hinweis darauf, wie Du damit gearbeitet hast. ... Das ist nicht Pflicht, aber für uns aufschlussreich.'",,aufgabe.md (optional),nein
Dokumentation & Abgabe,GitHub-Repository,Code und Dokumentation liegen in einem teilbaren Repository,erledigt,"Repository mit n8n-Workflow-Exports (JSON), DB-Schema, docker-compose.yml, README.md, DECISIONS.md, Test-Scripts, Anforderungsliste","'Du schickst uns ein Repository (GitHub, GitLab oder als ZIP), das Deinen Code enthält'",,aufgabe.md (Pflicht),nein
Dokumentation & Abgabe,Loom-Video (3-5 Minuten),Kurzes Video zeigt die Plattform in Aktion,erledigt,"Loom-Video zeigt: Eingang per E-Mail/Tally/Webhook, automatische Einladung, Spam-Aussortierung, Grenzfall mit Telegram-Benachrichtigung, Mitarbeiterin-Workflow im Kanban inkl. Telegram-Button-Klick","'idealerweise einen Screenshot oder ein kurzes Loom-Video, das die Lösung in Aktion zeigt. Drei bis fünf Minuten Loom reichen völlig.'","Skript fuer das Loom-Video (5 Min): Intro / klare Einladung / klare Absage / Grenzfall mit KI-Empfehlung / Mitarbeiterin-Workflow",aufgabe.md (idealerweise),nein
